condition,seed,agent,time_sec,phase_rad
shared,15138832,0,12.000000,0.251362
shared,15138832,1,12.000000,0.251362
shared,15138832,2,12.000000,0.251362
shared,15138832,3,12.000000,0.251362
shared,15138832,4,12.000000,0.251362
shared,15138832,5,12.000000,0.251362
shared,15138832,6,12.000000,0.251362
shared,15138832,7,12.000000,0.251362
shared,15138832,8,12.000000,0.251362
shared,15138832,9,12.000000,0.251362
shared,15138832,10,12.000000,0.251362
shared,15138832,11,12.000000,0.251362
shared,15138832,12,12.000000,0.251362
shared,15138832,13,12.000000,0.251362
shared,15138832,14,12.000000,0.251362
shared,15138832,16,12.000000,0.251362
shared,15138832,17,12.000000,0.251362
shared,15138832,18,12.000000,0.251362
shared,15138832,19,12.000000,0.251362
shared,15138832,20,12.000000,0.251362
shared,15138832,21,12.000000,0.251362
shared,15138832,22,12.000000,0.251362
shared,15138832,24,12.000000,0.251362
shared,15138832,25,12.000000,0.251362
shared,15138832,26,12.000000,0.251362
shared,15138832,27,12.000000,0.251362
shared,15138832,29,12.000000,0.251362
shared,15138832,30,12.000000,0.251362
shared,15138832,31,12.000000,0.251362
shared,15138832,15,12.020000,0.502689
shared,15138832,23,12.020000,0.502689
shared,15138832,28,12.020000,0.502689
shared,15138832,0,12.500000,0.251363
shared,15138832,1,12.500000,0.251363
shared,15138832,2,12.500000,0.251363
shared,15138832,3,12.500000,0.251363
shared,15138832,4,12.500000,0.251363
shared,15138832,5,12.500000,0.251363
shared,15138832,6,12.500000,0.251363
shared,15138832,7,12.500000,0.251363
shared,15138832,8,12.500000,0.251363
shared,15138832,9,12.500000,0.251363
shared,15138832,10,12.500000,0.251363
shared,15138832,11,12.500000,0.251363
shared,15138832,12,12.500000,0.251363
shared,15138832,13,12.500000,0.251363
shared,15138832,14,12.500000,0.251363
shared,15138832,16,12.500000,0.251363
shared,15138832,17,12.500000,0.251363
shared,15138832,18,12.500000,0.251363
shared,15138832,19,12.500000,0.251363
shared,15138832,20,12.500000,0.251363
shared,15138832,21,12.500000,0.251363
shared,15138832,22,12.500000,0.251363
shared,15138832,24,12.500000,0.251363
shared,15138832,25,12.500000,0.251363
shared,15138832,26,12.500000,0.251363
shared,15138832,27,12.500000,0.251363
shared,15138832,29,12.500000,0.251363
shared,15138832,30,12.500000,0.251363
shared,15138832,31,12.500000,0.251363
shared,15138832,15,12.520000,0.502691
shared,15138832,23,12.520000,0.502691
shared,15138832,28,12.520000,0.502691
shared,15138832,0,13.000000,0.251365
shared,15138832,1,13.000000,0.251365
shared,15138832,2,13.000000,0.251365
shared,15138832,3,13.000000,0.251365
shared,15138832,4,13.000000,0.251365
shared,15138832,5,13.000000,0.251365
shared,15138832,6,13.000000,0.251365
shared,15138832,7,13.000000,0.251365
shared,15138832,8,13.000000,0.251365
shared,15138832,9,13.000000,0.251365
shared,15138832,10,13.000000,0.251365
shared,15138832,11,13.000000,0.251365
shared,15138832,12,13.000000,0.251365
shared,15138832,13,13.000000,0.251365
shared,15138832,14,13.000000,0.251365
shared,15138832,16,13.000000,0.251365
shared,15138832,17,13.000000,0.251365
shared,15138832,18,13.000000,0.251365
shared,15138832,19,13.000000,0.251365
shared,15138832,20,13.000000,0.251365
shared,15138832,21,13.000000,0.251365
shared,15138832,22,13.000000,0.251365
shared,15138832,24,13.000000,0.251365
shared,15138832,25,13.000000,0.251365
shared,15138832,26,13.000000,0.251365
shared,15138832,27,13.000000,0.251365
shared,15138832,29,13.000000,0.251365
shared,15138832,30,13.000000,0.251365
shared,15138832,31,13.000000,0.251365
shared,15138832,15,13.020000,0.502692
shared,15138832,23,13.020000,0.502692
shared,15138832,28,13.020000,0.502692
shared,15138832,0,13.500000,0.251366
shared,15138832,1,13.500000,0.251366
shared,15138832,2,13.500000,0.251366
shared,15138832,3,13.500000,0.251366
shared,15138832,4,13.500000,0.251366
shared,15138832,5,13.500000,0.251366
shared,15138832,6,13.500000,0.251366
shared,15138832,7,13.500000,0.251366
shared,15138832,8,13.500000,0.251366
shared,15138832,9,13.500000,0.251366
shared,15138832,10,13.500000,0.251366
shared,15138832,11,13.500000,0.251366
shared,15138832,12,13.500000,0.251366
shared,15138832,13,13.500000,0.251366
