agent_id,step,semitone_before,semitone_after,delta_semitones
14,45,-0.263180,-0.353182,-0.090002
14,47,-0.353182,-0.443184,-0.090002
14,49,-0.443184,-0.563181,-0.119997
14,51,-0.563181,-0.173183,0.389997
14,55,-0.173183,1.866817,2.040001
15,2,-9.623177,-9.863182,-0.240005
15,4,-9.863182,-10.013180,-0.149998
15,6,-10.013180,-10.253180,-0.240000
15,8,-10.253180,-10.463184,-0.210005
15,10,-10.463184,-10.373177,0.090008
15,12,-10.373177,-10.583181,-0.210005
15,14,-10.583181,-10.733179,-0.149998
15,16,-10.733179,-10.853182,-0.120003
15,18,-10.853182,-10.643177,0.210005
15,20,-10.643177,-10.463184,0.179993
15,22,-10.463184,-10.283180,0.180004
15,24,-10.283180,-10.073181,0.209999
15,26,-10.073181,-9.983179,0.090002
15,28,-9.983179,-10.223179,-0.240000
15,30,-10.223179,-10.073181,0.149998
15,32,-10.073181,-10.253180,-0.179998
15,34,-10.253180,-10.433178,-0.179998
15,36,-10.433178,-10.313181,0.119997
15,38,-10.313181,-10.133183,0.179998
15,40,-10.133183,-9.953178,0.180004
15,42,-9.953178,-10.043180,-0.090002
15,44,-10.043180,-10.133183,-0.090002
15,46,-10.133183,-10.223179,-0.089996
15,48,-10.223179,-9.983179,0.240000
15,50,-9.983179,-10.133183,-0.150003
15,52,-10.133183,-12.173183,-2.040001
15,54,-12.173183,-10.133183,2.040001
16,1,-2.303181,-2.213184,0.089996
16,3,-2.213184,-2.003180,0.210005
16,5,-2.003180,-1.943184,0.059996
16,7,-1.943184,-1.793180,0.150003
16,9,-1.793180,-1.733185,0.059996
16,11,-1.733185,-1.673183,0.060001
16,13,-1.673183,-1.463184,0.209999
16,15,-1.463184,-1.553181,-0.089996
16,17,-1.553181,-1.643177,-0.089996
16,19,-1.643177,-1.463184,0.179993
16,21,-1.463184,-1.553181,-0.089996
16,23,-1.553181,-1.793180,-0.240000
16,25,-1.793180,-1.763180,0.030001
16,27,-1.763180,-1.523180,0.240000
16,29,-1.523180,-1.733185,-0.210005
16,31,-1.733185,-1.613182,0.120003
16,33,-1.613182,-1.523180,0.090002
16,35,-1.523180,-1.313181,0.209999
16,37,-1.313181,-1.103182,0.209999
16,39,-1.103182,-1.193184,-0.090002
16,41,-1.193184,-1.283180,-0.089996
16,43,-1.283180,-1.373177,-0.089996
16,45,-1.373177,-1.493179,-0.120003
16,47,-1.493179,-1.283180,0.209999
16,49,-1.283180,-1.373177,-0.089996
16,51,-1.373177,-0.173183,1.199993
16,55,-0.173183,1.866817,2.040001
17,2,22.896824,23.046822,0.149998
17,4,23.046822,22.836811,-0.210011
17,6,22.836811,22.596817,-0.239994
17,8,22.596817,22.836811,0.239994
17,10,22.836811,22.686825,-0.149986
17,12,22.686825,22.446819,-0.240005
17,14,22.446819,22.356823,-0.089996
17,16,22.356823,22.566822,0.209999
17,18,22.566822,22.446819,-0.120003
17,20,22.446819,22.686825,0.240005
17,22,22.686825,22.536816,-0.150009
17,24,22.536816,22.776821,0.240005
17,26,22.776821,22.956814,0.179993
17,28,22.956814,23.046822,0.090008
17,30,23.046822,23.286816,0.239994
17,32,23.286816,23.166813,-0.120003
17,34,23.166813,23.046822,-0.119991
17,36,23.046822,22.806816,-0.240005
17,38,22.806816,23.046822,0.240005
17,40,23.046822,23.256821,0.209999
17,42,23.256821,23.016827,-0.239994
17,44,23.016827,23.166813,0.149986
17,46,23.166813,23.406818,0.240005
17,48,23.406818,23.646824,0.240005
17,50,23.646824,23.826817,0.179993
17,52,23.826817,22.716820,-1.109997
17,54,22.716820,20.886818,-1.830002
18,1,2.166819,1.956820,-0.209999
