condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
heredity,12648491,14,14,0,1426,1426,0.535954,0.535954,0.535951,0.000000,0.535954,15
heredity,12648491,3,3,0,1430,1430,0.527565,0.527565,0.527568,0.000000,0.527565,11
heredity,12648491,31,31,0,1433,1433,0.541893,0.541893,0.541886,0.001245,0.541893,11
heredity,12648491,17,17,0,1436,1436,0.517107,0.517107,0.517106,0.000000,0.517107,11
heredity,12648491,6,6,0,1464,1464,0.532851,0.532851,0.532842,0.003592,0.532851,16
heredity,12648491,30,30,0,1482,1482,0.556542,0.556542,0.556536,0.003513,0.556542,12
heredity,12648491,27,27,0,1483,1483,0.550752,0.550753,0.550762,0.000000,0.550753,16
heredity,12648491,20,20,0,1490,1490,0.570950,0.570950,0.570941,0.003703,0.570950,12
heredity,12648491,19,19,0,1505,1505,0.564407,0.564407,0.564397,0.002572,0.564407,12
heredity,12648491,25,25,0,1556,1556,0.572220,0.572220,0.572209,0.002680,0.572220,17
heredity,12648491,12,12,0,1621,1621,0.597538,0.597538,0.597534,0.002641,0.597538,17
heredity,12648491,8,8,0,1667,1667,0.627254,0.627254,0.627256,0.000000,0.627254,14
heredity,12648491,21,21,0,1967,1967,0.717354,0.717354,0.717364,0.000000,0.717354,21
heredity,12648491,33,5,1340,3086,1746,0.663039,0.663039,0.663035,0.003910,0.663039,19
heredity,12648491,36,2,1349,3119,1770,0.663039,0.663039,0.663036,0.003806,0.663039,14
heredity,12648491,40,29,1364,3144,1780,0.663039,0.663039,0.663036,0.003755,0.663039,19
heredity,12648491,49,7,1412,3158,1746,0.663039,0.663039,0.663035,0.003910,0.663039,19
heredity,12648491,34,1,1342,3268,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,39,15,1354,3280,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,37,24,1349,3283,1934,0.713272,0.713272,0.713260,0.002072,0.713272,15
