condition,baseline_type,seed,selection_enabled,juvenile_enabled,snapshot_step,death_count,normalized_step,loo_c_score,g_scene,pairwise_entropy,ji_score,unique_bins
heredity_nosel,log_random_filtered,3870294017,0,1,1690,408,0.140833,0.275178,-10.001542,4.255857,0.148829,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1700,410,0.141667,0.282006,-10.391541,4.315146,0.134001,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1710,413,0.142500,0.293730,-10.693190,4.380102,0.141435,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1720,414,0.143333,0.299131,-10.871874,4.363612,0.143031,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1730,419,0.144167,0.310016,-10.110570,4.303595,0.176001,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1740,420,0.145000,0.280036,-10.552966,4.325171,0.172823,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1750,423,0.145833,0.315783,-8.338204,4.282535,0.193547,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1760,424,0.146667,0.300680,-10.018311,4.439392,0.187018,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1770,424,0.147500,0.300680,-10.018311,4.439392,0.187018,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1780,428,0.148333,0.314570,-10.825613,4.445057,0.194398,16.000
heredity_nosel,log_random_filtered,3870294017,0,1,1790,433,0.149167,0.235374,-8.664014,4.172269,0.152698,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1800,436,0.150000,0.259292,-9.660832,4.424530,0.147154,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1810,437,0.150833,0.254931,-11.966810,4.485603,0.138531,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1820,440,0.151667,0.277236,-11.111670,4.439394,0.171793,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1830,444,0.152500,0.272541,-8.652933,4.255615,0.223789,11.000
heredity_nosel,log_random_filtered,3870294017,0,1,1840,446,0.153333,0.301498,-10.335010,4.356419,0.192063,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1850,447,0.154167,0.279301,-10.202398,4.352059,0.188271,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1860,451,0.155000,0.303279,-9.299832,4.462499,0.165563,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1870,451,0.155833,0.303279,-9.299832,4.462499,0.165563,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,1880,453,0.156667,0.266111,-8.201709,4.348549,0.168462,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,1890,456,0.157500,0.262269,-11.434888,4.341084,0.160023,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1900,462,0.158333,0.286192,-11.780254,4.287682,0.145172,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1910,464,0.159167,0.285035,-11.313807,4.340507,0.175882,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1920,464,0.160000,0.285035,-11.313807,4.340507,0.175882,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1930,466,0.160833,0.289609,-10.328923,4.443755,0.179700,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1940,469,0.161667,0.329686,-9.901823,4.485603,0.153734,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1950,471,0.162500,0.328541,-9.279488,4.544895,0.115357,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1960,472,0.163333,0.337237,-9.036370,4.487133,0.129589,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1970,475,0.164167,0.338636,-6.700396,4.308940,0.138672,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,1980,481,0.165000,0.293746,-7.986523,4.221197,0.150904,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,1990,484,0.165833,0.294679,-8.170577,4.227087,0.161360,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2000,486,0.166667,0.305759,-8.388787,4.367246,0.173399,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2010,488,0.167500,0.263122,-9.348784,4.316825,0.195847,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2020,491,0.168333,0.288341,-9.465392,4.489964,0.179579,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2030,492,0.169167,0.275229,-9.905057,4.497156,0.169551,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2040,493,0.170000,0.268407,-9.879909,4.471218,0.170724,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2050,498,0.170833,0.295186,-7.869954,4.324721,0.211495,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2060,500,0.171667,0.316061,-8.214935,4.437287,0.232376,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2070,501,0.172500,0.343083,-8.053674,4.382357,0.241645,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2080,503,0.173333,0.342806,-7.698780,4.144113,0.277943,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,2090,506,0.174167,0.296110,-7.285223,4.150677,0.258489,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,2100,512,0.175000,0.259904,-6.043378,4.179213,0.237682,12.000
heredity_nosel,log_random_filtered,3870294017,0,1,2110,512,0.175833,0.254904,-7.181148,4.249967,0.244841,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,2120,515,0.176667,0.222683,-8.141201,4.190669,0.221732,11.000
heredity_nosel,log_random_filtered,3870294017,0,1,2130,516,0.177500,0.238238,-8.060478,4.192416,0.217425,10.000
heredity_nosel,log_random_filtered,3870294017,0,1,2140,519,0.178333,0.254038,-8.408676,4.406992,0.157288,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2150,520,0.179167,0.265644,-7.742012,4.411929,0.152776,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2160,521,0.180000,0.266365,-7.931080,4.414183,0.139819,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2170,523,0.180833,0.312525,-7.036032,4.376451,0.155009,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2180,527,0.181667,0.333049,-6.708337,4.403207,0.167148,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2190,532,0.182500,0.303030,-8.166082,4.403207,0.170142,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2200,533,0.183333,0.324043,-9.298751,4.426311,0.153365,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2210,534,0.184167,0.336454,-9.371304,4.368548,0.164457,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2220,536,0.185000,0.276589,-9.033658,4.206554,0.159950,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2230,540,0.185833,0.273931,-9.244534,4.195929,0.205991,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2240,543,0.186667,0.261540,-10.846703,4.423480,0.157765,15.000
heredity_nosel,log_random_filtered,3870294017,0,1,2250,546,0.187500,0.228811,-10.413289,4.462499,0.164203,14.000
heredity_nosel,log_random_filtered,3870294017,0,1,2260,548,0.188333,0.191299,-10.263836,4.361752,0.164777,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,2270,550,0.189167,0.208096,-11.380328,4.453778,0.144367,13.000
heredity_nosel,log_random_filtered,3870294017,0,1,2280,552,0.190000,0.243949,-11.924887,4.508708,0.140199,13.000
