bin_center,mean_frac,std_frac,ci95_frac,n_seeds,n_pairs,mean_count,std_count
9.8250,0.001087,0.002830,0.001240,20,276,0.300000,0.781025
9.8750,0.001630,0.003527,0.001546,20,276,0.450000,0.973396
9.9250,0.001087,0.003986,0.001747,20,276,0.300000,1.100000
9.9750,0.007790,0.007271,0.003187,20,276,2.150000,2.006863
10.0250,0.000725,0.001847,0.000810,20,276,0.200000,0.509902
10.0750,0.002174,0.003513,0.001540,20,276,0.600000,0.969536
10.1250,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
10.1750,0.008877,0.006629,0.002905,20,276,2.450000,1.829618
10.2250,0.000362,0.001087,0.000476,20,276,0.100000,0.300000
10.2750,0.000906,0.003215,0.001409,20,276,0.250000,0.887412
10.3250,0.004348,0.011025,0.004832,20,276,1.200000,3.043025
10.3750,0.002174,0.003695,0.001619,20,276,0.600000,1.019804
10.4250,0.003080,0.006304,0.002763,20,276,0.850000,1.739971
10.4750,0.002355,0.004478,0.001963,20,276,0.650000,1.235921
10.5250,0.005978,0.008746,0.003833,20,276,1.650000,2.414022
10.5750,0.000906,0.002530,0.001109,20,276,0.250000,0.698212
10.6250,0.001449,0.004915,0.002154,20,276,0.400000,1.356466
10.6750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
10.7250,0.001087,0.002830,0.001240,20,276,0.300000,0.781025
10.7750,0.007246,0.008650,0.003791,20,276,2.000000,2.387467
10.8250,0.002899,0.003902,0.001710,20,276,0.800000,1.077033
10.8750,0.011413,0.008895,0.003899,20,276,3.150000,2.455096
10.9250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
10.9750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
11.0250,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
11.0750,0.000543,0.002369,0.001038,20,276,0.150000,0.653835
11.1250,0.001630,0.004047,0.001774,20,276,0.450000,1.116915
11.1750,0.005072,0.007007,0.003071,20,276,1.400000,1.933908
11.2250,0.001630,0.004507,0.001975,20,276,0.450000,1.243986
11.2750,0.002536,0.005007,0.002195,20,276,0.700000,1.382028
11.3250,0.002899,0.004525,0.001983,20,276,0.800000,1.249000
11.3750,0.004710,0.006286,0.002755,20,276,1.300000,1.734935
11.4250,0.001630,0.004925,0.002158,20,276,0.450000,1.359228
11.4750,0.001630,0.002915,0.001278,20,276,0.450000,0.804674
11.5250,0.002174,0.002662,0.001167,20,276,0.600000,0.734847
11.5750,0.000906,0.003215,0.001409,20,276,0.250000,0.887412
11.6250,0.001993,0.004359,0.001910,20,276,0.550000,1.203121
11.6750,0.001630,0.003527,0.001546,20,276,0.450000,0.973396
11.7250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
11.7750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
11.8250,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
11.8750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
11.9250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
11.9750,0.002536,0.003053,0.001338,20,276,0.700000,0.842615
