# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
71,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.056845,1.095387,1.167448,-0.072061,18.561176,0.000552,18.560625
72,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.128260,1.100092,1.167449,-0.067357,18.614077,0.000552,18.613525
73,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.008085,1.109379,1.167449,-0.058069,18.525059,0.000552,18.524508
74,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.007050,1.125835,1.167449,-0.041614,18.524292,0.000552,18.523741
75,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.301756,1.136974,1.167449,-0.030475,18.742592,0.000552,18.742041
76,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.224724,1.140779,1.167449,-0.026669,18.685532,0.000552,18.684980
77,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-25.014502,1.140948,1.167449,-0.026500,18.529814,0.000553,18.529261
78,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.989937,1.135953,1.167449,-0.031495,18.511618,0.000554,18.511065
79,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.937643,1.152054,1.167449,-0.015394,18.472885,0.000558,18.472328
80,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.912495,1.155123,1.167449,-0.012326,18.454256,0.000558,18.453699
81,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.848051,1.141209,1.167450,-0.026241,18.406521,0.000558,18.405964
82,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.812260,1.138577,1.167449,-0.028872,18.380009,0.000558,18.379452
83,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.608414,1.128939,1.167449,-0.038510,18.229012,0.000557,18.228455
84,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.611111,1.124871,1.167449,-0.042579,18.231009,0.000557,18.230452
85,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.456152,1.134317,1.167450,-0.033133,18.116224,0.000557,18.115667
86,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.488722,1.133285,1.167450,-0.034165,18.140350,0.000557,18.139793
87,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.284489,1.130298,1.167451,-0.037153,17.989067,0.000557,17.988510
88,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.622648,1.115792,1.167451,-0.051658,18.239555,0.000557,18.238998
89,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.657467,1.122878,1.167451,-0.044572,18.265348,0.000559,18.264790
90,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.634645,1.108538,1.167471,-0.058933,18.248444,0.000560,18.247885
91,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.584280,1.108326,1.167471,-0.059146,18.211136,0.000559,18.210577
92,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.408085,1.082401,1.167470,-0.085069,18.080622,0.000560,18.080063
93,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.405191,1.083296,1.167470,-0.084174,18.078480,0.000561,18.077919
94,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.427073,1.083084,1.167470,-0.084386,18.094688,0.000561,18.094128
95,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.773937,1.078237,1.167469,-0.089232,18.351625,0.000561,18.351065
