step,agent_id,semitones,c_level
37,7,1.176819,0.837334
38,7,1.296822,0.832075
39,7,1.296822,0.829583
40,7,1.056816,0.812873
41,7,1.056816,0.826506
42,7,1.176819,0.866944
43,7,1.176819,0.853661
44,7,1.296822,0.871631
45,7,1.296822,0.871547
46,7,1.446819,0.867652
47,7,1.446819,0.861711
48,7,1.206820,0.871683
49,7,1.206820,0.871877
50,7,0.966820,0.842969
51,7,0.966820,0.861803
52,7,0.966820,0.860366
53,7,0.966820,0.857161
54,7,0.966820,0.851691
55,7,0.966820,0.852256
56,7,0.966820,0.862993
57,7,0.966820,0.866543
58,7,0.966820,0.866458
59,7,0.966820,0.866106
60,7,0.966820,0.871074
61,7,0.966820,0.869495
62,7,0.966820,0.871876
63,7,0.966820,0.871747
64,7,0.966820,0.871739
65,7,0.966820,0.869113
66,7,0.966820,0.871851
67,7,0.966820,0.871730
68,7,0.966820,0.871729
69,7,0.966820,0.870586
70,7,0.966820,0.870586
71,7,0.966820,0.871729
72,7,0.966820,0.871729
73,7,0.966820,0.871857
74,7,0.966820,0.871857
75,7,0.966820,0.871729
76,7,0.966820,0.871729
77,7,0.966820,0.871857
78,7,0.966820,0.871857
79,7,0.966820,0.871729
80,7,0.966820,0.871729
81,7,0.966820,0.871857
82,7,0.966820,0.871857
83,7,0.966820,0.871729
84,7,0.966820,0.871729
85,7,0.966820,0.871857
86,7,0.966820,0.871857
87,7,0.966820,0.871729
88,7,0.966820,0.871729
89,7,0.966820,0.870586
90,7,0.966820,0.870586
91,7,0.966820,0.871729
92,7,0.966820,0.871729
93,7,0.966820,0.870586
94,7,0.966820,0.870586
95,7,0.966820,0.871729
96,7,0.966820,0.871729
97,7,0.966820,0.870586
98,7,0.966820,0.870586
99,7,0.966820,0.871729
0,8,7.716820,0.830001
1,8,7.596817,0.778466
2,8,7.596817,0.786293
3,8,7.356823,0.689538
4,8,7.356823,0.678038
5,8,7.386818,0.679751
6,8,7.386818,0.678038
7,8,7.416813,0.686269
8,8,7.416813,0.691265
9,8,7.446819,0.718207
10,8,7.446819,0.835438
11,8,7.326817,0.860552
12,8,7.326817,0.863629
13,8,7.116817,0.809904
14,8,7.116817,0.810483
15,8,7.206814,0.767290
16,8,7.206814,0.735605
17,8,7.236820,0.734228
18,8,7.236820,0.755517
19,8,7.116817,0.796203
20,8,7.116817,0.787402
21,8,6.876812,0.776555
