env_partials,env_partial_decay,mirror_weight,seed,harmonic_tilt
3,1.400000,0.300,12648457,0.028971
3,1.400000,0.300,12648458,0.025728
3,1.400000,0.300,12648459,0.035346
3,1.400000,0.400,12648440,0.028281
3,1.400000,0.400,12648441,0.030859
3,1.400000,0.400,12648442,0.039839
3,1.400000,0.400,12648443,0.030884
3,1.400000,0.400,12648444,0.033517
3,1.400000,0.400,12648445,0.035172
3,1.400000,0.400,12648446,0.034382
3,1.400000,0.400,12648447,0.036588
3,1.400000,0.400,12648448,0.043209
3,1.400000,0.400,12648449,0.039519
3,1.400000,0.400,12648450,0.041213
3,1.400000,0.400,12648451,0.036684
3,1.400000,0.400,12648452,0.042273
3,1.400000,0.400,12648453,0.033371
3,1.400000,0.400,12648454,0.036389
3,1.400000,0.400,12648455,0.030802
3,1.400000,0.400,12648456,0.036750
3,1.400000,0.400,12648457,0.026467
3,1.400000,0.400,12648458,0.027436
3,1.400000,0.400,12648459,0.033517
3,1.400000,0.500,12648440,0.028261
3,1.400000,0.500,12648441,0.041256
3,1.400000,0.500,12648442,0.038341
3,1.400000,0.500,12648443,0.036085
3,1.400000,0.500,12648444,0.035853
3,1.400000,0.500,12648445,0.032773
3,1.400000,0.500,12648446,0.034190
3,1.400000,0.500,12648447,0.039309
3,1.400000,0.500,12648448,0.044075
3,1.400000,0.500,12648449,0.042332
3,1.400000,0.500,12648450,0.034896
3,1.400000,0.500,12648451,0.034465
3,1.400000,0.500,12648452,0.040539
3,1.400000,0.500,12648453,0.032298
3,1.400000,0.500,12648454,0.034931
3,1.400000,0.500,12648455,0.035638
3,1.400000,0.500,12648456,0.039481
3,1.400000,0.500,12648457,0.029121
3,1.400000,0.500,12648458,0.026866
3,1.400000,0.500,12648459,0.034964
3,1.400000,0.600,12648440,0.030572
3,1.400000,0.600,12648441,0.037789
3,1.400000,0.600,12648442,0.039314
3,1.400000,0.600,12648443,0.029700
3,1.400000,0.600,12648444,0.038109
3,1.400000,0.600,12648445,0.034218
3,1.400000,0.600,12648446,0.029712
3,1.400000,0.600,12648447,0.036862
3,1.400000,0.600,12648448,0.037048
3,1.400000,0.600,12648449,0.039647
3,1.400000,0.600,12648450,0.031174
3,1.400000,0.600,12648451,0.039585
3,1.400000,0.600,12648452,0.046949
3,1.400000,0.600,12648453,0.027562
3,1.400000,0.600,12648454,0.034339
3,1.400000,0.600,12648455,0.032743
3,1.400000,0.600,12648456,0.039481
3,1.400000,0.600,12648457,0.034770
3,1.400000,0.600,12648458,0.030577
3,1.400000,0.600,12648459,0.033310
3,1.400000,0.700,12648440,0.029728
3,1.400000,0.700,12648441,0.036771
3,1.400000,0.700,12648442,0.038313
3,1.400000,0.700,12648443,0.034788
3,1.400000,0.700,12648444,0.038111
3,1.400000,0.700,12648445,0.032770
3,1.400000,0.700,12648446,0.036077
3,1.400000,0.700,12648447,0.038416
3,1.400000,0.700,12648448,0.038848
3,1.400000,0.700,12648449,0.037572
3,1.400000,0.700,12648450,0.036298
3,1.400000,0.700,12648451,0.033936
3,1.400000,0.700,12648452,0.046949
3,1.400000,0.700,12648453,0.033573
3,1.400000,0.700,12648454,0.033966
3,1.400000,0.700,12648455,0.034351
3,1.400000,0.700,12648456,0.040899
3,1.400000,0.700,12648457,0.035545
3,1.400000,0.700,12648458,0.033550
3,1.400000,0.700,12648459,0.033898
3,1.400000,0.800,12648440,0.029696
3,1.400000,0.800,12648441,0.030949
3,1.400000,0.800,12648442,0.036406
3,1.400000,0.800,12648443,0.033488
3,1.400000,0.800,12648444,0.035438
3,1.400000,0.800,12648445,0.031475
3,1.400000,0.800,12648446,0.026158
3,1.400000,0.800,12648447,0.029093
3,1.400000,0.800,12648448,0.039318
3,1.400000,0.800,12648449,0.037391
3,1.400000,0.800,12648450,0.026853
3,1.400000,0.800,12648451,0.032012
3,1.400000,0.800,12648452,0.044847
3,1.400000,0.800,12648453,0.031886
3,1.400000,0.800,12648454,0.034517
3,1.400000,0.800,12648455,0.029148
3,1.400000,0.800,12648456,0.038613
3,1.400000,0.800,12648457,0.033071
3,1.400000,0.800,12648458,0.033147
3,1.400000,0.800,12648459,0.030642
3,1.400000,0.900,12648440,0.029696
3,1.400000,0.900,12648441,0.031607
3,1.400000,0.900,12648442,0.036833
3,1.400000,0.900,12648443,0.033488
3,1.400000,0.900,12648444,0.030186
3,1.400000,0.900,12648445,0.028098
3,1.400000,0.900,12648446,0.024900
3,1.400000,0.900,12648447,0.035351
3,1.400000,0.900,12648448,0.038647
3,1.400000,0.900,12648449,0.033776
3,1.400000,0.900,12648450,0.022123
3,1.400000,0.900,12648451,0.027536
3,1.400000,0.900,12648452,0.042648
3,1.400000,0.900,12648453,0.034946
3,1.400000,0.900,12648454,0.037791
3,1.400000,0.900,12648455,0.028645
3,1.400000,0.900,12648456,0.039612
3,1.400000,0.900,12648457,0.034889
3,1.400000,0.900,12648458,0.027896
3,1.400000,0.900,12648459,0.035054
3,1.400000,1.000,12648440,0.033693
3,1.400000,1.000,12648441,0.036196
3,1.400000,1.000,12648442,0.036833
3,1.400000,1.000,12648443,0.029673
3,1.400000,1.000,12648444,0.036235
3,1.400000,1.000,12648445,0.022934
3,1.400000,1.000,12648446,0.034963
3,1.400000,1.000,12648447,0.036369
3,1.400000,1.000,12648448,0.037840
3,1.400000,1.000,12648449,0.035613
3,1.400000,1.000,12648450,0.022123
3,1.400000,1.000,12648451,0.027738
3,1.400000,1.000,12648452,0.038441
3,1.400000,1.000,12648453,0.042619
3,1.400000,1.000,12648454,0.033939
3,1.400000,1.000,12648455,0.030767
3,1.400000,1.000,12648456,0.042251
3,1.400000,1.000,12648457,0.032211
3,1.400000,1.000,12648458,0.029893
3,1.400000,1.000,12648459,0.035658
6,0.600000,0.000,12648440,0.031587
6,0.600000,0.000,12648441,0.037511
6,0.600000,0.000,12648442,0.036144
6,0.600000,0.000,12648443,0.035603
6,0.600000,0.000,12648444,0.031958
6,0.600000,0.000,12648445,0.035677
