condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
baseline,12648460,106,15,648,1012,364,0.492254,0.492254,0.492253,0.001263,0.492254,0.724964,0.724963,0.724962,0.001983,0.724963,3
baseline,12648460,127,19,820,1017,197,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,129,1,825,1017,192,0.034187,0.034187,0.034187,0.000000,0.034187,0.517086,0.517086,0.517085,0.000732,0.517086,1
baseline,12648460,130,11,837,1026,189,0.011012,0.011012,0.011012,0.000000,0.011012,0.505505,0.505505,0.505506,0.000000,0.505505,2
baseline,12648460,128,0,823,1039,216,0.166263,0.166264,0.166264,0.000000,0.166263,0.581972,0.581972,0.581972,0.000863,0.581972,2
baseline,12648460,132,22,845,1039,194,0.044082,0.044082,0.044082,0.000067,0.044082,0.522027,0.522027,0.522026,0.000345,0.522027,2
baseline,12648460,134,21,850,1051,201,0.033257,0.033257,0.033257,0.000000,0.033257,0.516614,0.516614,0.516615,0.000000,0.516614,1
baseline,12648460,138,24,874,1061,187,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,131,30,841,1074,233,0.045575,0.045575,0.045575,0.000053,0.045575,0.522713,0.522713,0.522713,0.000000,0.522713,2
baseline,12648460,140,27,887,1080,193,0.037106,0.037106,0.037106,0.000000,0.037106,0.518543,0.518543,0.518545,0.000000,0.518543,2
baseline,12648460,137,13,871,1091,220,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,141,14,893,1092,199,0.074589,0.074589,0.074589,0.000156,0.074589,0.537225,0.537225,0.537224,0.001221,0.537225,2
baseline,12648460,136,8,867,1099,232,0.022262,0.022262,0.022262,0.000000,0.022262,0.511129,0.511129,0.511130,0.000000,0.511129,3
baseline,12648460,143,5,898,1100,202,0.006832,0.006832,0.006832,0.000007,0.006832,0.503416,0.503416,0.503416,0.000598,0.503416,1
baseline,12648460,142,3,896,1104,208,0.031286,0.031286,0.031286,0.000000,0.031286,0.515628,0.515628,0.515627,0.001196,0.515628,2
baseline,12648460,133,18,846,1106,260,0.058550,0.058550,0.058550,0.000105,0.058550,0.529231,0.529231,0.529230,0.001036,0.529231,1
